檔案,功能摘要,主要依賴,DOM/畫面掛點,localStorage/存檔,更新風險,檢查重點
afk-offline.js,離線掛機與離線收益結算,"player,currentSlot,saveGame,loadGame,tick,戰鬥/掉落相關函式","遊戲畫面、日誌、設定區","會讀寫離線狀態與收益紀錄,高度接近存檔流程",高,"測載入舊存檔、關頁再回來、死亡停止、24 小時上限"
afk-mobile.js,手機版面與底部導覽,"原作者 DOM 結構、render/update UI 流程","game-screen,town-view,battle-view,背包/日誌/設定面板","通常不直接改角色存檔",高,"用手機 viewport 測首頁、戰鬥、背包、日誌、彈窗"
afk-backnav.js,手機返回鍵與子畫面返回,"openSlotSelect,loadGame,startGame,backToMenu,slotBackToMenu","creation-panel,slot-select-panel","不直接寫存檔",中,"測 Android/iOS 返回鍵、選角返回、創角返回"
afk-slotinfo.js,選角畫面掛機資訊,"localStorage 存檔摘要、AFK_SLOTINFO API","存檔選擇畫面","唯讀讀存檔與離線資訊",中,"測每個 slot 顯示地點與掛機時間"
afk-extradata.js,掉落查詢與小百科共用補充資料,"window.AFK_EXTRA","無 DOM","不寫存檔",中,"更新新地圖、新取得方式、新翻譯對照"
afk-dex.js,怪物/掉落查詢,"DB,MOB_DROPS,DARK_WEAPON_DROPS,DARK_CRYSTAL_DROPS,DRAGON_DROPS,WARRIOR_DROPS,AFK_EXTRA,AFK_WIKI_API","main-menu,automation-panel,m-dex-*","基本唯讀;會開查詢 UI",高,"搜尋怪物、地圖、掉落物;檢查新掉落表與特殊掉落"
afk-wiki.js,小百科與跨頁搜尋,"DB,MAP_CATEGORIES,CRAFT_RECIPES,buildItemDescHTML,AFK_EXTRA,AFK_DEX_API","main-menu,automation-panel,m-wiki-*","部分唯讀讀角色/圖鑑進度;避免呼叫寫檔函式",高,"測搜尋、裝備詳情、職業魔法、地圖、製作、圖鑑"
afk-fixes.js,通用修正與存檔防呆,"renderTabs,saveGame,downloadSaveFile,logCombat","select 控制項、頁面離開事件","會攔截 saveGame;目標是避免錯寫存檔",高,"確認空白角色 saveGame 被擋;頁面離開時正常保存"
afk-sw.js,Service Worker 註冊,"navigator.serviceWorker,isSecureContext","無 DOM","不碰角色存檔",中,"測 https/PWA 註冊、file:// 自動略過"
afk-toast.js,手機 toast 提示,"logSys,點擊事件時序","手機 toast 容器","不碰存檔",低,"測手機點擊喝水/設定是否出現提示且不洗頻"
afk-statpts.js,能力值面板補點數分解,"player,能力值渲染相關 DOM","能力值/角色面板","唯讀顯示",中,"測角色屬性面板是否顯示始/升/藥/總"
afk-syncinfo.js,首頁顯示原版同步資訊,"fetch last-sync.json","main-menu","不碰存檔",低,"測首頁同步時間顯示與讀不到時降級"
afk-ui.js,自製 alert 與共用彈窗層,"window.alert,history,popstate,keydown","afk-ui modal","不碰存檔",中,"測 alert、ESC、手機返回鍵關閉"
afk-autobuy.js,自動買肉與魔法屏障卷軸,"tick,shopPrice,gainItem,loadGame,startGame,currentSlot","設定面板自動購買區","寫入 afk_autobuy_* 偏好,不直接寫角色存檔",中,"測各 slot 設定獨立、金幣不足、不重複購買"
afk-pwa.js,PWA 安裝/更新/預抓離線資源,"serviceWorker,beforeinstallprompt,manifest.webmanifest,assets-manifest","首頁設定/安裝入口","寫入 PWA 偏好,不碰角色存檔",中,"測安裝提示、自動更新、離線預抓進度"
afk-storage.js,檢查 localStorage 用量,"localStorage,AFK_SETTINGS,AFK_UI","首頁設定選單、m-stg-*","唯讀列出 localStorage key",低,"確認不修改任何 key,只顯示大小"
afk-history.js,離線掛機歷史紀錄,"localStorage afk_hist_<slot>,AFK_SETTINGS,AFK_UI","首頁設定選單、m-hist-*","讀離線紀錄;會寫自己的篩選偏好",中,"測最近 5 筆、slot 篩選、排序"
afk-mobname.js,怪物名稱顯示模式,"body class/localStorage,AFK_SETTINGS","首頁設定選單、怪物名稱 CSS","寫入 afk_mobname_mode",低,"測三種模式與重新整理後保留"
afk-training.js,木人場 DPS 測試,"tick,killMob,spawnMob,killPlayer,applyAreaBackground,calcStats,renderMobs,updateUI","訓練 HUD、怪物選擇 modal、戰鬥畫面","寫入木人場偏好與位置;刻意不包 saveGame",高,"測進入/退出木人場、讀檔回村、離線不結算"
afk-analytics.js,Cloudflare Web Analytics,"正式站台環境、script 注入","head/body script","不碰存檔",低,"確認只在正式站台送出,本機不干擾"
afk-skin.js,加掛版品牌標記與外掛區外框,"main-menu,creation-screen,AFK_SETTINGS","首頁、外掛區、品牌 badge","不碰存檔",中,"測外掛入口排序、modal、首頁版面"
